화면분류 기준 번호,화면분류,화면 넘버링,요구사항명,요구사항내용,담당 파트,사용 Azure,우선순위,비고
1.1,인증/관리자,SCR-AUTH-001,관리자 로그인,Microsoft Entra ID 기반 SSO 로그인 및 권한 검증 후 대시보드 접근,Backend,"Microsoft Entra ID, App Service",P2,P0/P1 단계에서는 단일 관리자 모드(인증 우회)로 동작 — 서비스 정상 동작
1.2,인증/관리자,SCR-AUTH-002,역할 기반 권한 관리,부서장/보안담당자/시스템관리자 역할별 메뉴 접근 제어 (RBAC),Backend,"Microsoft Entra ID, Azure SQL",P2,P0/P1 단계에서는 단일 관리자 권한으로 모든 메뉴 접근
2.1,데이터 입력,SCR-INPUT-001,CSV 로그 업로드,사내 LLM 사용 로그 CSV 파일 업로드 / 스키마 검증 / Blob Storage 임시 저장 후 분석 파이프라인 진입,"Frontend, Backend","Static Web Apps, App Service, Blob Storage",P0,[P0 메인 입력 경로] 1만건 샘플 → 마스킹 → 분류 → 대시보드 완결
2.2,데이터 입력,SCR-INPUT-002,사내 LLM Gateway 실시간 수집,사내 LLM Gateway가 호출 로그를 Event Hub로 push → Function(EventHubTrigger)이 Blob 저장 후 분석 파이프라인 진입,"Backend, Infra","Event Hub, Azure Functions, Blob Storage",P2,[운영 메인 입력] P2 미구현 시 CSV 업로드(2.1)로 동일 분석 가능 — 서비스 정상 동작
2.3,데이터 입력,SCR-INPUT-003,Gateway 사전 마스킹 (Edge Masking),Gateway 단에서 PII/기밀정보 사전 마스킹 후 Event Hub push (옵션 C),"Backend, Infra","Event Hub, App Service",P2,운영 옵션 C 전용. 미구현 시 분석 단(3.1·3.2)에서 마스킹 수행
2.4,데이터 입력,SCR-INPUT-004,데이터 입력 이력 조회,CSV 업로드 / 실시간 수집 이력 및 처리 상태(성공/실패/대기) 확인,"Frontend, Backend","Static Web Apps, Azure SQL",P0,[P0 메인] 입력 결과 가시성 확보 — 운영자 신뢰도 보장
2.5,데이터 입력,SCR-INPUT-005,데모 트리거 (샘플 프롬프트 실행),Mock Gateway 경유 샘플 호출 → Event Hub → Function → 대시보드 반영의 end-to-end 흐름을 한 화면에서 시연,"Frontend, Backend","App Service, Azure OpenAI, Event Hub",P2,[보조 데모 트리거] 2.2와 한 쌍. ENV=demo에서만 활성화. 미구현 시 외부 도구(Postman)로 대체 가능
3.1,데이터 처리,FUNC-PROC-001,PII/기밀정보 탐지,정규식 + LLM 기반 민감정보 탐지 (이름/이메일/전화번호/계약서/API Key 등),AI/ML,Azure OpenAI,P0,책임 있는 AI 핵심 (보안 평가 항목)
3.2,데이터 처리,FUNC-PROC-002,프롬프트 마스킹,탐지된 민감정보 마스킹 처리 후 원문 즉시 폐기,AI/ML,"Azure OpenAI, App Service",P0,책임 있는 AI 핵심 (보안 평가 항목)
3.3,데이터 처리,FUNC-PROC-003,업무 유형 분류,LLM 기반 6개 카테고리 분류 (보고서작성/코드생성/고객응대/문서요약/데이터분석/검색),AI/ML,Azure OpenAI,P0,—
3.4,데이터 처리,FUNC-PROC-004,Embedding 생성,마스킹된 프롬프트의 임베딩 벡터 생성 (3.5 Sub-Clustering 입력용),AI/ML,Azure OpenAI Embedding,P1,P1 미구현 시 3.3 분류만으로도 sub-clustering 없이 동작
